gene_id	colors
ENSG00000134121.10	blue
ENSG00000134184.13	grey
ENSG00000134201.12	brown
ENSG00000134240.12	blue
ENSG00000134317.18	turquoise
ENSG00000134339.9	turquoise
ENSG00000134363.12	turquoise
ENSG00000134463.15	turquoise
ENSG00000134532.19	turquoise
ENSG00000134551.13	turquoise
ENSG00000134569.10	turquoise
ENSG00000134757.5	blue
ENSG00000134760.6	blue
ENSG00000134762.17	blue
ENSG00000134769.21	turquoise
ENSG00000134775.15	blue
ENSG00000134853.12	turquoise
ENSG00000134873.10	turquoise
ENSG00000134874.18	turquoise
ENSG00000135111.16	blue
ENSG00000135116.9	brown
ENSG00000135298.14	turquoise
ENSG00000135333.14	grey
ENSG00000135373.13	yellow
ENSG00000135374.11	turquoise
ENSG00000135426.16	brown
ENSG00000135472.9	grey
ENSG00000135480.16	grey
ENSG00000135638.14	yellow
ENSG00000135744.8	grey
ENSG00000135750.15	turquoise
ENSG00000135903.20	turquoise
ENSG00000135960.10	turquoise
ENSG00000136002.20	blue
ENSG00000136110.13	turquoise
ENSG00000136155.17	yellow
ENSG00000136231.14	yellow
ENSG00000136235.17	blue
ENSG00000136244.12	yellow
ENSG00000136274.9	turquoise
ENSG00000136352.19	turquoise
ENSG00000136546.16	turquoise
ENSG00000136573.14	brown
ENSG00000136689.19	blue
ENSG00000136694.9	brown
ENSG00000136698.10	brown
ENSG00000136842.14	turquoise
ENSG00000136925.15	green
ENSG00000136928.7	grey
ENSG00000136929.13	brown
ENSG00000136931.10	brown
ENSG00000136943.11	blue
ENSG00000136944.19	turquoise
ENSG00000137077.8	yellow
ENSG00000137078.9	brown
ENSG00000137142.5	blue
ENSG00000137203.15	turquoise
ENSG00000137273.6	grey
ENSG00000137285.10	yellow
ENSG00000137460.9	turquoise
ENSG00000137558.9	turquoise
ENSG00000137648.19	yellow
ENSG00000137673.9	yellow
ENSG00000137691.13	turquoise
ENSG00000137709.10	turquoise
ENSG00000137745.12	turquoise
ENSG00000137747.16	turquoise
ENSG00000137819.14	turquoise
ENSG00000137869.15	grey
ENSG00000137875.4	blue
ENSG00000137959.16	yellow
ENSG00000137968.16	turquoise
ENSG00000137975.8	blue
ENSG00000138080.14	turquoise
ENSG00000138109.11	blue
ENSG00000138119.17	green
ENSG00000138135.7	blue
ENSG00000138207.14	yellow
ENSG00000138271.6	blue
ENSG00000138356.14	turquoise
ENSG00000138435.16	blue
ENSG00000138615.6	turquoise
ENSG00000138622.4	yellow
ENSG00000138650.9	brown
ENSG00000138675.16	turquoise
ENSG00000138696.11	brown
ENSG00000138755.6	yellow
ENSG00000138769.11	turquoise
ENSG00000138795.10	brown
ENSG00000138798.13	blue
ENSG00000138829.12	turquoise
ENSG00000138944.8	brown
ENSG00000139044.12	turquoise
ENSG00000139144.11	yellow
ENSG00000139209.16	turquoise
