"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"HOXC13-AS","ENSG00000249641.2",17.5147299004642,-1.50185511165786,0.142306865389571,-10.5536377851235,4.88676240720799e-26,7.39250671500478e-26,"Up in Cluster 4"
"ATP6V0CP4","ENSG00000284138.1",4.14735860425169,-0.897823347584193,0.0850773965378649,-10.5530185938941,4.91908329717702e-26,7.44100319783877e-26,"Up in Cluster 4"
"AC106791.3","ENSG00000287067.1",5.86469202818468,0.637243389770965,0.0603854248224169,10.5529337856774,4.9235266312946e-26,7.44732690823317e-26,"Up in Cluster 7"
"INMT","ENSG00000241644.2",296.821977484945,0.612055088706735,0.0580000534365704,10.5526642208371,4.93767630656916e-26,7.46833097226047e-26,"Up in Cluster 7"
"FSTL4","ENSG00000053108.17",248.276405163974,-0.867467427638411,0.0822213235665569,-10.5503948368845,5.05840736937682e-26,7.65053059907189e-26,"Up in Cluster 4"
"NRBF2P5","ENSG00000270427.1",9.92158569216887,-0.508116488566547,0.0481623458658718,-10.5500776474138,5.0755132647156e-26,7.67599243595034e-26,"Up in Cluster 4"
"MYO3B","ENSG00000071909.19",82.4973098470501,-0.785361399966327,0.0744528269511507,-10.5484429823143,5.16458345379308e-26,7.80986462927204e-26,"Up in Cluster 4"
"IL5RA","ENSG00000091181.20",15.947764845499,-0.763381180132795,0.072402459712889,-10.5435807451843,5.43877999849259e-26,8.22406469562839e-26,"Up in Cluster 4"
"LINC01277","ENSG00000229017.7",15.1189200776894,0.519609589539895,0.049285848914137,10.542774467477,5.48562292351087e-26,8.29445391716851e-26,"Up in Cluster 7"
"RNASE4","ENSG00000258818.4",72.1967496343766,-0.801954185338691,0.0760669937618964,-10.5427353662609,5.48790475577512e-26,8.29746128913785e-26,"Up in Cluster 4"
"AC009093.4","ENSG00000260953.1",4.56135792581738,-0.762130521491262,0.0723147124234843,-10.5390797522381,5.70544423844581e-26,8.62452997115614e-26,"Up in Cluster 4"
"AC116348.2","ENSG00000261332.1",4.03220092683771,1.12116070658838,0.106403703726129,10.5368579036884,5.84181668511925e-26,8.82973263476918e-26,"Up in Cluster 7"
"AL137058.1","ENSG00000244471.6",17.0271083641202,0.89019208706866,0.0845276264776261,10.5313744649424,6.19236177861155e-26,9.35857257814167e-26,"Up in Cluster 7"
"AL359921.1","ENSG00000230325.1",3.33143389108908,-0.569229904195307,0.0540678493649633,-10.5280663255708,6.41384598268328e-26,9.6922696039791e-26,"Up in Cluster 4"
"RNF144B","ENSG00000137393.10",1523.83534286119,0.513707244412483,0.0488072596358772,10.5252220314141,6.61054095936263e-26,9.98897199422384e-26,"Up in Cluster 7"
"ADAMTS16","ENSG00000145536.15",189.235901325304,0.774219484403973,0.0735853969471266,10.5213740296906,6.88619373941745e-26,1.04038371817105e-25,"Up in Cluster 7"
"ARSI","ENSG00000183876.9",179.248377843521,-0.702453471042633,0.0667740802629632,-10.5198524378965,6.99831009918144e-26,1.05720978681833e-25,"Up in Cluster 4"
