source	target	weight	module1	module2
HSPB7	UNC45B	0.9489283190480469	black	black
MYF6	TCAP	0.9489109458778919	black	black
ASB5	NRAP	0.9489008893073595	black	black
COX6A2	MYOM1	0.9488883312010961	black	black
ACTC1	KLHL40	0.9488719345186352	black	black
LCP2	PTPRC	0.9488034585426028	blue	blue
HJV	STAC3	0.9487871236795212	black	black
MYOZ2	STYXL2	0.9487284693360957	black	black
CACNG6	MYBPC2	0.9487016670878439	black	black
ACTA1	CASQ2	0.9486081046384174	black	black
MYL2	MYPN	0.9486066702851237	black	black
HRC	MYOT	0.9486011660315066	black	black
CAVIN4	STYXL2	0.9485978383073775	black	black
ACTA1	CACNG1	0.9485843047299514	black	black
AC107956.1	RPS2P5	0.9485527015228545	darkgrey	darkgrey
LMOD2	MYOZ1	0.9485231024223331	black	black
MZB1	TNFRSF17	0.9485156151116186	lightgreen	lightgreen
CACNG6	KLHL40	0.9485095251551787	black	black
