project_id,gene_id,gene_name,mean_expression,median_expression,sd_expression,n_samples,comparison_type,mean_normal,mean_tumor,median_normal,median_tumor,log2fc,p_value,padj,n_normal,n_tumor
TCGA-CHOL,ENSG00000205981.8,DNAJC19,NA,NA,NA,NA,normal_vs_tumor,1690.405492559726,1166.235022425488,1669.0827969895709,1098.1605809790335,-0.5355575048688279,9.040178163080101e-4,0.0016573659965646852,9,35
TCGA-CHOL,ENSG00000213221.5,DNLZ,NA,NA,NA,NA,normal_vs_tumor,6.800202281791204,8.864233465012374,7.325522779583616,6.4857141337342785,0.37352725043701285,0.3426097277732469,0.3768707005505716,9,35
TCGA-COAD,ENSG00000080824.19,HSP90AA1,NA,NA,NA,NA,normal_vs_tumor,31298.737503444117,38351.94605620375,30649.685401778257,36313.93569641091,0.2932190502844354,3.87501392245838e-4,6.089307592434597e-4,41,481
TCGA-COAD,ENSG00000096384.20,HSP90AB1,NA,NA,NA,NA,normal_vs_tumor,30422.319760698938,49327.5368791437,29395.054774741406,47242.080496082264,0.69728240563692,3.2409732879593525e-31,1.4260282467021152e-30,41,481
TCGA-COAD,ENSG00000100209.11,HSCB,NA,NA,NA,NA,normal_vs_tumor,297.91682989306577,233.85550585354108,276.3141670596106,223.80500577883674,-0.3494253556171085,3.809606354153782e-5,7.619212708307564e-5,41,481
TCGA-COAD,ENSG00000103423.14,DNAJA3,NA,NA,NA,NA,normal_vs_tumor,2753.9735932573076,3306.0850737647115,2701.2154600116814,3140.570820890057,0.2631512893666601,1.2895448992869118e-4,2.182306752639389e-4,41,481
TCGA-COAD,ENSG00000105993.15,DNAJB6,NA,NA,NA,NA,normal_vs_tumor,3421.792990404355,2930.6211868240543,3111.1758850617575,2769.4278571021864,-0.2238431660957518,0.004501531522198358,0.006189605843022742,41,481
TCGA-COAD,ENSG00000106211.10,HSPB1,NA,NA,NA,NA,normal_vs_tumor,14362.489454561806,10228.501047456799,11747.663475815372,7799.951299502622,-0.48977417663312467,0.005000285220085916,0.006470957343640597,41,481
TCGA-COAD,ENSG00000109519.13,GRPEL1,NA,NA,NA,NA,normal_vs_tumor,1594.4812053451717,1705.0861439449484,1591.1171425994683,1674.3531540351876,0.09669054753118587,0.09557298836065288,0.10513028719671817,41,481
TCGA-COAD,ENSG00000109846.9,CRYAB,NA,NA,NA,NA,normal_vs_tumor,2247.6111330589397,364.0972407349757,1344.8678754266343,217.3682863212269,-2.626019241558764,1.2010841944365025e-32,6.605963069400763e-32,41,481
TCGA-COAD,ENSG00000113013.16,HSPA9,NA,NA,NA,NA,normal_vs_tumor,10957.114758703146,11417.410264517179,11055.835770482145,11315.562817516175,0.059410773624869385,0.2806382759719937,0.2806382759719937,41,481
TCGA-COAD,ENSG00000115541.11,HSPE1,NA,NA,NA,NA,normal_vs_tumor,786.6576894815598,1573.0449065988803,722.2076137626403,1379.6883236066703,0.999241487443982,3.85369309058794e-21,1.0597655999116836e-20,41,481
TCGA-COAD,ENSG00000120675.6,DNAJC15,NA,NA,NA,NA,normal_vs_tumor,2723.618952536604,3127.2526289113075,2785.8160748197356,2780.3272791211075,0.1994813149476997,0.12076823912285727,0.12651910765251714,41,481
TCGA-COAD,ENSG00000126602.11,TRAP1,NA,NA,NA,NA,normal_vs_tumor,1723.2329754704215,3506.679395077609,1768.2171106668222,3087.7299435178943,1.0244429035820806,1.4394039111063795e-25,5.277814340723392e-25,41,481
