gene_id,module
AC010168.1,grey
AC010168.2,blue
AC010173.1,grey
AC010175.1,brown
AC010184.1,tan
AC010186.1,grey
AC010186.2,lightgreen
AC010186.3,lightgreen
AC010198.1,grey
AC010198.2,greenyellow
AC010201.1,yellow
AC010201.2,yellow
AC010201.3,cyan
AC010203.1,pink
AC010203.2,turquoise
AC010205.1,yellow
AC010207.1,grey
AC010210.1,blue
AC010226.1,sienna3
AC010245.2,yellow
AC010247.1,brown
AC010247.2,brown
AC010251.1,grey
AC010255.1,white
AC010255.2,red
AC010260.1,black
AC010261.2,pink
AC010266.2,grey
AC010271.1,yellow
AC010271.2,cyan
AC010273.3,turquoise
AC010275.1,midnightblue
AC010280.1,darkolivegreen
AC010280.2,grey
AC010285.1,pink
AC010300.1,yellow
AC010307.2,grey
AC010307.4,turquoise
AC010319.1,pink
AC010319.3,darkorange
AC010319.4,yellow
AC010319.5,green
AC010320.1,grey
AC010323.2,grey
AC010325.1,black
AC010326.1,ivory
AC010326.3,blue
AC010326.4,blue
AC010327.3,grey
AC010327.4,greenyellow
AC010327.5,royalblue
AC010327.6,red
AC010327.7,royalblue
AC010327.8,royalblue
AC010328.1,grey
AC010329.1,grey
AC010329.2,grey
AC010329.5,grey
AC010331.1,red
AC010332.1,yellowgreen
AC010332.3,grey
AC010336.1,grey
AC010336.2,grey
AC010336.5,cyan
AC010336.7,tan
AC010343.1,salmon
AC010343.3,turquoise
AC010359.2,cyan
AC010368.1,pink
AC010378.1,grey
AC010406.1,grey
AC010420.1,grey
AC010422.1,darkseagreen4
AC010422.2,yellow
AC010422.4,yellow
AC010422.8,yellow
AC010424.1,grey
AC010424.2,grey
AC010425.1,grey
AC010457.1,greenyellow
AC010463.3,yellow
AC010476.2,grey
AC010478.1,magenta
AC010487.1,yellow
AC010491.1,yellow
AC010491.2,turquoise
AC010501.2,grey
AC010503.4,turquoise
AC010504.1,grey
AC010511.1,grey
AC010524.1,grey
AC010530.1,pink
AC010531.5,grey
AC010531.6,cyan
AC010533.1,greenyellow
AC010536.1,darkgreen
AC010536.2,grey
AC010536.3,red
AC010538.1,grey
AC010542.5,grey
AC010547.1,grey
AC010547.2,turquoise
AC010591.1,grey
AC010595.1,midnightblue
AC010615.1,yellowgreen
AC010615.2,yellowgreen
AC010618.2,yellow
AC010618.3,yellow
AC010623.1,pink
AC010624.1,blue
AC010624.2,grey
AC010624.3,pink
AC010624.4,grey
AC010624.5,grey
AC010627.1,red
AC010636.1,grey
AC010641.2,grey
AC010642.1,pink
AC010642.2,blue
AC010643.1,grey
AC010654.1,grey
AC010677.1,thistle1
AC010677.2,turquoise
AC010680.2,lightcyan
AC010680.5,grey
AC010719.1,paleturquoise
AC010729.1,grey
AC010729.2,tan
AC010735.1,blue
AC010735.2,blue
AC010754.1,green
AC010761.1,indianred4
AC010761.3,pink
AC010761.4,pink
AC010761.6,indianred4
AC010768.2,brown
AC010789.1,turquoise
AC010789.2,turquoise
AC010809.2,grey
AC010834.2,steelblue
AC010834.3,darkturquoise
AC010857.1,grey
AC010864.1,cyan
AC010883.1,yellow
AC010883.2,brown
AC010883.3,grey
AC010894.1,grey
AC010894.2,midnightblue
AC010894.4,brown
AC010896.1,turquoise
AC010904.2,grey
AC010913.1,cyan
AC010931.1,magenta
AC010947.1,greenyellow
AC010967.1,turquoise
AC010969.1,darkgrey
AC010969.2,grey
AC010969.3,turquoise
AC010970.1,grey
AC010973.1,pink
AC010973.2,yellow
AC010976.1,pink
AC010976.2,magenta
AC010980.1,turquoise
AC010996.1,green
AC010997.4,turquoise
AC010998.2,pink
AC010998.3,grey
AC011005.1,salmon
AC011005.4,grey
AC011008.1,grey
AC011008.2,turquoise
AC011029.1,midnightblue
AC011092.3,grey
AC011199.1,turquoise
AC011239.1,turquoise
AC011239.2,magenta
AC011246.1,magenta
AC011247.1,brown
AC011247.2,turquoise
AC011270.2,turquoise
AC011287.1,grey
AC011290.2,yellow
AC011294.1,grey
AC011298.1,grey
AC011306.1,grey
AC011317.1,grey
AC011322.1,grey
AC011330.1,black
AC011330.2,yellow
AC011337.1,turquoise
AC011346.1,grey
AC011352.1,turquoise
AC011352.3,turquoise
AC011365.1,blue
AC011369.2,grey
AC011370.1,midnightblue
AC011374.1,turquoise
